Month,Element,Amount in USD,Year,Day,
December,Somali Share,44721.6,2018,24,
December,Somali Share,52049.11,2018,25,
December,Somali Share,18037.8,2018,26,
December,Somali Share,64610.67,2018,27,
December,Somali Share,37255.9,2018,29,
December,Somali Share,27748.44,2018,30,
December,Somali Share,293880.13,2018,31,
January,Social Benefits,275.26,2018,1,
January,Social Benefits,2907.05,2018,2,
January,Social Benefits,957.76,2018,3,
January,Social Benefits,1657.89,2018,4,
January,Social Benefits,204.2,2018,6,
January,Social Benefits,674.16,2018,7,
January,Social Benefits,125.63,2018,8,
January,Social Benefits,1084.41,2018,9,
January,Social Benefits,2165.29,2018,10,
January,Social Benefits,102.7,2018,11,
January,Social Benefits,110.99,2018,13,
January,Social Benefits,122.31,2018,14,
January,Social Benefits,673.59,2018,15,
January,Social Benefits,127.11,2018,16,
January,Social Benefits,302.14,2018,17,
January,Social Benefits,1584.61,2018,18,
January,Social Benefits,1670.01,2018,20,
January,Social Benefits,219.74,2018,21,
January,Social Benefits,171.08,2018,22,
January,Social Benefits,229.61,2018,23,
January,Social Benefits,3234.62,2018,24,
January,Social Benefits,319.08,2018,25,
January,Social Benefits,219.02,2018,27,
January,Social Benefits,117.08,2018,28,
January,Social Benefits,90.04,2018,29,
January,Social Benefits,148.34,2018,30,
January,Social Benefits,267.55,2018,31,
February,Social Benefits,1431.1,2018,1,
February,Social Benefits,2841.78,2018,3,
February,Social Benefits,2871.75,2018,4,
February,Social Benefits,123.13,2018,5,
February,Social Benefits,155.46,2018,6,
February,Social Benefits,2923.71,2018,7,
February,Social Benefits,91.78,2018,8,
February,Social Benefits,108.38,2018,10,
February,Social Benefits,121.25,2018,11,
February,Social Benefits,79.18,2018,12,
February,Social Benefits,1412.25,2018,13,
February,Social Benefits,164.49,2018,14,
February,Social Benefits,445.82,2018,15,
February,Social Benefits,259.57,2018,17,
February,Social Benefits,153.5,2018,18,
February,Social Benefits,3431.26,2018,19,
February,Social Benefits,200.08,2018,20,
February,Social Benefits,351.55,2018,21,
February,Social Benefits,337.89,2018,22,
February,Social Benefits,263.6,2018,24,
February,Social Benefits,261.45,2018,25,
February,Social Benefits,256.42,2018,26,
February,Social Benefits,341.19,2018,27,
February,Social Benefits,2450.17,2018,28,
March,Social Benefits,1984,2018,1,
March,Social Benefits,1999.8,2018,3,
March,Social Benefits,6833.43,2018,4,
March,Social Benefits,18333.08,2018,5,
March,Social Benefits,1824.7,2018,6,
March,Social Benefits,10213.49,2018,7,
March,Social Benefits,19752.71,2018,8,
March,Social Benefits,2582.75,2018,10,
March,Social Benefits,4392.4,2018,11,
March,Social Benefits,489.85,2018,12,
March,Social Benefits,19992.51,2018,13,
March,Social Benefits,25064.1,2018,14,
March,Social Benefits,1713.45,2018,15,
March,Social Benefits,4335.65,2018,17,
March,Social Benefits,14190.51,2018,18,
March,Social Benefits,2144.55,2018,19,
March,Social Benefits,1466.7,2018,20,
March,Social Benefits,3544.3,2018,21,
March,Social Benefits,22024.44,2018,22,
March,Social Benefits,2116.2,2018,24,
March,Social Benefits,16954.18,2018,25,
March,Social Benefits,37382.94,2018,26,
March,Social Benefits,1706.15,2018,27,
March,Social Benefits,3772.8,2018,28,
March,Social Benefits,13384.61,2018,29,
March,Social Benefits,2854.3,2018,31,
April,Social Benefits,273.49,2018,1,
April,Social Benefits,1684.57,2018,2,
April,Social Benefits,350.92,2018,3,
April,Social Benefits,3345.22,2018,4,
April,Social Benefits,803,2018,5,
April,Social Benefits,273.26,2018,7,
April,Social Benefits,168.16,2018,8,
April,Social Benefits,1642.08,2018,9,
April,Social Benefits,392.32,2018,10,
April,Social Benefits,109.74,2018,11,
April,Social Benefits,181.01,2018,12,
April,Social Benefits,243.35,2018,14,
April,Social Benefits,2180.91,2018,15,
